Time,X
-0.0025069637883008145,0.09708737864077754
0.08272980501392758,-0.5825242718446599
0.1467966573816156,-1.067961165048544
0.15236768802228412,0.8737864077669908
0.16573816155988857,7.378640776699029
0.1724233983286908,10.679611650485437
0.1796657381615599,17.0873786407767
0.19025069637883008,24.563106796116507
0.19415041782729803,28.155339805825243
0.2041782729805014,34.46601941747573
0.21309192200557103,39.126213592233015
0.2236768802228412,42.42718446601942
0.23426183844011142,44.75728155339806
0.24763231197771587,46.019417475728154
0.25877437325905295,46.601941747572816
0.26935933147632307,46.019417475728154
0.27771587743732584,45.43689320388349
0.2799442896935933,44.85436893203883
0.3072423398328691,40.873786407766985
0.3239554317548746,38.252427184466015
0.3334261838440111,36.213592233009706
0.3417827298050139,34.1747572815534
0.3529247910863509,31.941747572815533
0.3623955431754874,29.70873786407767
0.371309192200557,28.155339805825243
0.38690807799442894,26.11650485436893
0.40250696378830075,24.271844660194176
0.42033426183844,22.42718446601942
0.43760445682451243,21.067961165048544
0.45487465181058495,19.90291262135922
0.48941504178272976,19.70873786407767
